time,q_des_j1,q_j1,err_j1,qd_des_j1,qd_j1,qdd_des_j1,qdd_cmd_j1,tau_raw_j1,tau_sat_j1,util_raw_j1,util_ema_j1,gov_scale_cur,gov_scale_next,braking_j1
0.001000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
0.002000,1.483530,1.483530,0.000000,0.000000,-0.000111,0.000000,0.001150,-0.000126,-0.000126,0.0000,0.0000,1.0000,1.0000,0
0.003000,1.483530,1.483530,0.000000,0.000000,-0.000141,0.000000,0.001519,-0.000107,-0.000107,0.0000,0.0000,1.0000,1.0000,0
0.004000,1.483530,1.483530,0.000000,0.000000,-0.000121,0.000000,0.001384,-0.000105,-0.000105,0.0000,0.0000,1.0000,1.0000,0
0.005000,1.483530,1.483530,0.000000,0.000000,-0.000108,0.000000,0.001307,-0.000102,-0.000102,0.0000,0.0000,1.0000,1.0000,0
0.006000,1.483530,1.483529,0.000001,0.000000,-0.000096,0.000000,0.001236,-0.000099,-0.000099,0.0000,0.0000,1.0000,1.0000,0
0.007000,1.483530,1.483529,0.000001,0.000000,-0.000085,0.000000,0.001172,-0.000095,-0.000095,0.0000,0.0000,1.0000,1.0000,0
0.008000,1.483530,1.483529,0.000001,0.000000,-0.000075,0.000000,0.001114,-0.000092,-0.000092,0.0000,0.0000,1.0000,1.0000,0
0.009000,1.483530,1.483529,0.000001,0.000000,-0.000067,0.000000,0.001061,-0.000089,-0.000089,0.0000,0.0000,1.0000,1.0000,0
0.010000,1.483530,1.483529,0.000001,0.000000,-0.000059,0.000000,0.001013,-0.000087,-0.000087,0.0000,0.0000,1.0000,1.0000,0
0.011000,1.483530,1.483529,0.000001,0.000000,-0.000052,0.000000,0.000969,-0.000084,-0.000084,0.0000,0.0000,1.0000,1.0000,0
0.012000,1.483530,1.483529,0.000001,0.000000,-0.000045,0.000000,0.000929,-0.000081,-0.000081,0.0000,0.0000,1.0000,1.0000,0
0.013000,1.483530,1.483529,0.000001,0.000000,-0.000040,0.000000,0.000893,-0.000079,-0.000079,0.0000,0.0000,1.0000,1.0000,0
0.014000,1.483530,1.483529,0.000001,0.000000,-0.000035,0.000000,0.000860,-0.000076,-0.000076,0.0000,0.0000,1.0000,1.0000,0
0.015000,1.483530,1.483529,0.000001,0.000000,-0.000030,0.000000,0.000829,-0.000074,-0.000074,0.0000,0.0000,1.0000,1.0000,0
0.016000,1.483530,1.483529,0.000001,0.000000,-0.000026,0.000000,0.000801,-0.000071,-0.000071,0.0000,0.0000,1.0000,1.0000,0
0.017000,1.483530,1.483529,0.000001,0.000000,-0.000022,0.000000,0.000776,-0.000069,-0.000069,0.0000,0.0000,1.0000,1.0000,0
0.018000,1.483530,1.483529,0.000001,0.000000,-0.000019,0.000000,0.000753,-0.000067,-0.000067,0.0000,0.0000,1.0000,1.0000,0
0.019000,1.483530,1.483529,0.000001,0.000000,-0.000016,0.000000,0.000731,-0.000065,-0.000065,0.0000,0.0000,1.0000,1.0000,0
0.020000,1.483530,1.483529,0.000001,0.000000,-0.000013,0.000000,0.000712,-0.000062,-0.000062,0.0000,0.0000,1.0000,1.0000,0
0.021000,1.483530,1.483529,0.000001,0.000000,-0.000011,0.000000,0.000694,-0.000060,-0.000060,0.0000,0.0000,1.0000,1.0000,0
0.022000,1.483530,1.483529,0.000001,0.000000,-0.000009,0.000000,0.000677,-0.000058,-0.000058,0.0000,0.0000,1.0000,1.0000,0
